bug_id,title,description,category,severity,root_cause,suggested_fix,created_at
1,Login fails with valid credentials on Chrome 118,User cannot log in even after entering correct username and password on Safari 17. Session token is not being generated.,Authentication,Medium,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
2,Login fails with valid credentials on Chrome 118,User cannot log in even after entering correct username and password on Chrome 118. Session token is not being generated.,Authentication,Critical,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
3,Login fails with valid credentials on Chrome 118,User cannot log in even after entering correct username and password on Firefox 119. Session token is not being generated.,Authentication,Low,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
4,Login fails with valid credentials on Firefox 119,User cannot log in even after entering correct username and password on Edge 118. Session token is not being generated.,Authentication,Critical,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
5,Login fails with valid credentials on Safari 17,User cannot log in even after entering correct username and password on Chrome 118. Session token is not being generated.,Authentication,Medium,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
6,Login fails with valid credentials on Edge 118,User cannot log in even after entering correct username and password on Safari 17. Session token is not being generated.,Authentication,Medium,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
7,Login fails with valid credentials on Chrome 118,User cannot log in even after entering correct username and password on Edge 118. Session token is not being generated.,Authentication,High,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
8,Login fails with valid credentials on Safari 17,User cannot log in even after entering correct username and password on Chrome 118. Session token is not being generated.,Authentication,Critical,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
9,Login fails with valid credentials on Chrome 118,User cannot log in even after entering correct username and password on Chrome 118. Session token is not being generated.,Authentication,High,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
10,Login fails with valid credentials on Safari 17,User cannot log in even after entering correct username and password on Firefox 119. Session token is not being generated.,Authentication,Low,Session cookie flag SameSite=Strict blocking cross-site auth handshake,Set SameSite=Lax and Secure flags on the auth cookie and re-issue token after redirect.,2024-01-01 00:00:00
11,Database connection pool exhausted under load,"After 90 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Medium,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
12,Database connection pool exhausted under load,"After 375 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,High,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
13,Database connection pool exhausted under load,"After 393 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,High,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 100.,2024-01-01 00:00:00
14,Database connection pool exhausted under load,"After 323 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Medium,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
15,Database connection pool exhausted under load,"After 377 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Medium,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 100.,2024-01-01 00:00:00
16,Database connection pool exhausted under load,"After 167 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Low,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 50.,2024-01-01 00:00:00
17,Database connection pool exhausted under load,"After 158 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,High,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
18,Database connection pool exhausted under load,"After 123 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,High,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
19,Database connection pool exhausted under load,"After 432 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Critical,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 100.,2024-01-01 00:00:00
20,Database connection pool exhausted under load,"After 120 concurrent requests, the app throws 'connection pool timeout' errors and stops responding.",Database,Critical,Connections not released back to pool due to missing try/finally around DB session,Wrap all DB calls in context manager and increase pool_size to 20.,2024-01-01 00:00:00
21,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Medium,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
22,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Critical,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
23,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
24,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,High,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
25,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
26,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
27,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,High,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
28,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
29,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
30,Memory leak in image processing worker,Worker RSS grows unbounded when processing large batches of images.,Memory,Low,"PIL Image objects not closed, cached bitmaps retained by reference",Explicitly call img.close() and use `with Image.open(...)` context managers.,2024-01-01 00:00:00
31,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Medium,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
32,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,High,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
33,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Medium,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
34,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Medium,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
35,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Low,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
36,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Medium,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
37,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Critical,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
38,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Low,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
39,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Critical,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
40,Race condition in order checkout,Two simultaneous checkouts on the same cart create duplicate orders.,Concurrency,Critical,Missing row-level lock on cart row during checkout transaction,Use SELECT ... FOR UPDATE on cart row inside the checkout transaction.,2024-01-01 00:00:00
41,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Medium,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
42,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,High,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
43,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Low,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
44,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Critical,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
45,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Medium,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
46,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Critical,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
47,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Medium,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
48,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,High,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
49,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Medium,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
50,SQL injection vulnerability in search endpoint,User-supplied search string is concatenated directly into SQL query.,Security,Low,String concatenation used instead of parameterized query,Replace f-string SQL with parameterized queries using placeholders.,2024-01-01 00:00:00
51,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,Medium,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
52,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,High,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
53,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,High,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
54,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,High,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
55,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,Medium,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
56,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,Medium,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
57,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,High,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
58,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,Low,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
59,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,Medium,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
60,Payment webhook signature verification bypassed,Any POST to /webhook/stripe is accepted regardless of signature header.,Payment,High,Signature check function returns True on exception,Fix verify() to return False on any HMAC mismatch or exception.,2024-01-01 00:00:00
61,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Low,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
62,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Low,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
63,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Critical,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
64,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Low,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
