project,title,description,severity,category,component,root_cause,suggested_fix,source
Mozilla,NullPointerException on tab close,Browser crashes with NullPointerException when closing the last tab while a download is in progress,High,Crash,UI/Tabs,Race condition between download manager and tab lifecycle,Guard tab teardown with a mutex and wait for download handles to release,mozilla-bugzilla
Mozilla,Memory leak in image decoder,Long browsing sessions accumulate memory when many PNG images are decoded,Medium,Performance,Graphics,Decoded image buffers not released after tab discard,Explicitly free ImageSurface in nsImageDecoder::Finalize,mozilla-bugzilla
Mozilla,SSL handshake fails with TLS 1.3,Connections to some servers fail with SEC_ERROR_BAD_SIGNATURE when TLS 1.3 is enabled,Critical,Security,Network/SSL,Incorrect signature scheme fallback for RSA-PSS,Update NSS to include RSA-PSS negotiation fix,mozilla-bugzilla
Apache,HTTP 500 on empty POST body,Apache returns 500 when POST body length is zero and mod_proxy is enabled,High,Bug,mod_proxy,Uninitialized buffer passed to ap_get_client_block,Initialize request buffer to empty string before proxy dispatch,apache-jira
Apache,Log rotation drops entries,Access log entries are lost during nightly logrotate SIGUSR1 reload,Medium,Bug,mod_log_config,Non-atomic file descriptor swap during rotation,Use dup2 to atomically swap fd inside worker,apache-jira
Apache,mod_ssl segfault on renegotiation,Server segfaults during client-initiated SSL renegotiation under high load,Critical,Crash,mod_ssl,Double-free of SSL context after handshake,Protect ctx free with ref-count in ssl_engine_kernel.c,apache-jira
Eclipse,IDE freezes when opening large XML,Workspace freezes for 30+ seconds when opening XML files larger than 10 MB,High,Performance,XML Editor,Full DOM parse on UI thread,Switch to SAX-based lazy parser and load on background thread,eclipse-bugzilla
Eclipse,Autocomplete missing for Java generics,Content assist does not suggest bounded generics for nested type parameters,Medium,Enhancement,JDT,ASTResolver ignores wildcard bounds,Extend TypeBinding.resolveGenerics to include wildcard bounds,eclipse-bugzilla
Eclipse,Git plugin OOM on large repo,EGit throws OutOfMemoryError when cloning repositories over 2 GB,High,Bug,EGit,PackFile fully loaded into memory,Stream pack objects instead of full load,eclipse-bugzilla
Kaggle,Login form accepts SQL injection,Login endpoint vulnerable to ' OR 1=1 -- payloads,Critical,Security,Auth,String concatenation used to build SQL query,Use parameterized queries / prepared statements,kaggle-bug-dataset
Kaggle,Dashboard chart not rendering on Safari,Sales chart is blank on Safari 15 but works on Chrome and Firefox,Medium,UI Bug,Dashboard,Missing Safari polyfill for ResizeObserver,Add resize-observer-polyfill and load before chart init,kaggle-bug-dataset
Kaggle,Password reset email never sent,Users report not receiving password-reset emails after clicking Forgot Password,High,Bug,Email/Notifications,SMTP relay rejects unauthenticated sender,Configure SPF/DKIM and use authenticated SMTP account,kaggle-bug-dataset
Kaggle,API rate-limit returns 500 instead of 429,Rate-limited API responses return HTTP 500 with stack trace exposed,High,Security,API Gateway,Rate limiter middleware raises unhandled exception,Catch RateLimitExceeded and return 429 with Retry-After header,kaggle-bug-dataset
Kaggle,File upload accepts executables,Server accepts .exe and .sh via upload endpoint,Critical,Security,Upload,No MIME type validation,Whitelist safe MIME types and reject others,kaggle-bug-dataset
Mozilla,Video playback stutters on 4K,H.264 playback stutters when hardware acceleration is disabled,Medium,Performance,Media,Software decoder single-threaded,Enable multi-threaded ffmpeg software decoding,mozilla-bugzilla
Apache,.htaccess rules ignored after upgrade,Custom RewriteRule directives no longer apply after upgrading to 2.4.58,High,Regression,mod_rewrite,AllowOverride default tightened,Set AllowOverride All in vhost or move rules to server config,apache-jira
Eclipse,Debugger disconnects randomly,Java debugger disconnects when stepping over long-running native calls,High,Bug,JDT Debug,JDWP timeout too short for native frames,Increase JDWP request timeout to 60s in preferences,eclipse-bugzilla
Kaggle,Session cookie missing HttpOnly,Session cookies issued without HttpOnly and Secure flags,High,Security,Auth,Cookie configuration defaults not overridden,Set HttpOnly, Secure, SameSite=Lax on session cookies,kaggle-bug-dataset
Mozilla,Bookmarks lost after profile migration,Bookmarks disappear when migrating profile from v102 to v115,Critical,Data Loss,Profile,Schema migration script skips places.sqlite backup,Add pre-migration backup and integrity check,mozilla-bugzilla
Apache,Reverse proxy strips X-Forwarded-For,X-Forwarded-For header removed when mod_remoteip is enabled,Medium,Bug,mod_remoteip,Trusted proxy list empty by default,Configure RemoteIPTrustedProxy directive,apache-jira
